start_bp	end_bp	ancID	childID
0	787227	1	7729
787227	1938779	2	7729
1938779	2499020	1	7729
2499020	3181961	2	7729
3181961	3453857	1	7729
3453857	4914542	2	7729
4914542	9140391	1	7729
9140391	9505758	2	7729
9505758	10079147	1	7729
10079147	12854227	2	7729
12854227	13466465	1	7729
13466465	16209683	2	7729
16209683	20123701	1	7729
20123701	22800127	2	7729
22800127	28824591	1	7729
28824591	32582172	2	7729
32582172	36865046	1	7729
36865046	39720447	2	7729
39720447	41176534	1	7729
41176534	41802283	2	7729
41802283	42048432	1	7729
42048432	42048654	2	7729
42048654	43627203	1	7729
43627203	44040027	2	7729
44040027	52452270	1	7729
52452270	54051552	2	7729
54051552	54150670	1	7729
54150670	59104644	2	7729
59104644	61397411	1	7729
61397411	61961878	2	7729
61961878	64723840	1	7729
64723840	66543084	2	7729
66543084	67350865	1	7729
67350865	67920738	2	7729
67920738	70908774	1	7729
70908774	72244597	2	7729
72244597	79155105	1	7729
79155105	79212555	2	7729
79212555	85063523	1	7729
85063523	85837308	2	7729
85837308	89094416	1	7729
89094416	94496451	2	7729
94496451	98015853	1	7729
98015853	99248128	2	7729
99248128	100000001	1	7729
0	2200744	1	10
2200744	4044739	2	10
4044739	5915936	1	10
5915936	6900863	2	10
6900863	7135189	1	10
7135189	8894737	2	10
8894737	9042187	1	10
9042187	9350717	2	10
9350717	10221079	1	10
10221079	10599715	2	10
10599715	13691090	1	10
13691090	14835465	2	10
14835465	15273431	1	10
15273431	17475225	2	10
17475225	18297888	1	10
18297888	18859292	2	10
18859292	27397351	1	10
27397351	28149743	2	10
28149743	29015576	1	10
29015576	30122735	2	10
30122735	51437958	1	10
51437958	51594963	2	10
51594963	52063301	1	10
52063301	52470155	2	10
52470155	57792217	1	10
57792217	58425159	2	10
58425159	60213528	1	10
60213528	60845970	2	10
60845970	60916833	1	10
60916833	60979308	2	10
60979308	78250435	1	10
78250435	80706077	2	10
80706077	80916179	1	10
80916179	81265056	2	10
81265056	87674477	1	10
87674477	87732536	2	10
87732536	89221895	1	10
89221895	89947305	2	10
89947305	91766586	1	10
91766586	97226053	2	10
97226053	100000001	1	10
0	894286	1	11124
894286	2668980	2	11124
2668980	4781043	1	11124
4781043	5677858	2	11124
5677858	6409208	1	11124
6409208	6911046	2	11124
6911046	7138112	1	11124
7138112	7193395	2	11124
7193395	9496542	1	11124
9496542	9670907	2	11124
9670907	9907009	1	11124
9907009	10187795	2	11124
10187795	15181481	1	11124
15181481	23051375	2	11124
23051375	25629384	1	11124
25629384	25823374	2	11124
25823374	35060508	1	11124
35060508	37026335	2	11124
37026335	37709595	1	11124
37709595	38553894	2	11124
38553894	42018233	1	11124
42018233	42963266	2	11124
42963266	47492004	1	11124
47492004	48630010	2	11124
48630010	52511133	1	11124
52511133	53351909	2	11124
53351909	58788019	1	11124
58788019	59692811	2	11124
59692811	60745986	1	11124
60745986	63290060	2	11124
63290060	66994008	1	11124
66994008	68254769	2	11124
68254769	70773140	1	11124
70773140	71437962	2	11124
71437962	73373196	1	11124
73373196	74397839	2	11124
74397839	76867599	1	11124
76867599	77484632	2	11124
77484632	80057052	1	11124
80057052	81930290	2	11124
81930290	83441884	1	11124
83441884	83764492	2	11124
83764492	87936333	1	11124
87936333	90144488	2	11124
90144488	92980169	1	11124
92980169	94377197	2	11124
94377197	97391853	1	11124
97391853	97394110	2	11124
97394110	98861655	1	11124
98861655	100000001	2	11124
0	340431	1	18409
340431	1067012	2	18409
1067012	1143263	1	18409
1143263	1312934	2	18409
1312934	3069752	1	18409
3069752	3576105	2	18409
3576105	6651626	1	18409
6651626	6787913	2	18409
6787913	9401625	1	18409
9401625	14498278	2	18409
14498278	14913354	1	18409
14913354	15459061	2	18409
15459061	19589246	1	18409
19589246	26576543	2	18409
26576543	26613060	1	18409
26613060	28956865	2	18409
28956865	31394932	1	18409
31394932	39515308	2	18409
39515308	39784099	1	18409
39784099	42048654	2	18409
